date,artist,streak
12/28/2022,Bad Bunny,1
12/29/2022,Bad Bunny,2
12/30/2022,Bad Bunny,3
12/31/2022,Bad Bunny,4
1/1/2023,Bad Bunny,5
1/2/2023,Bad Bunny,6
1/3/2023,Bad Bunny,7
1/4/2023,Bad Bunny,8
1/5/2023,Bad Bunny,9
1/6/2023,Bad Bunny,10
1/7/2023,Bad Bunny,11
1/8/2023,Bad Bunny,12
1/9/2023,Bad Bunny,13
1/10/2023,Bad Bunny,14
1/11/2023,Bad Bunny,15
1/12/2023,Bad Bunny,16
1/13/2023,Bad Bunny,17
1/14/2023,Bad Bunny,18
1/15/2023,Bad Bunny,19
1/16/2023,Bad Bunny,20
1/17/2023,Bad Bunny,21
1/18/2023,Bad Bunny,22
1/19/2023,Bad Bunny,23
1/20/2023,Bad Bunny,24
1/21/2023,Bad Bunny,25
1/22/2023,Bad Bunny,26
1/23/2023,Bad Bunny,27
1/24/2023,Bad Bunny,28
1/25/2023,Bad Bunny,29
1/26/2023,Bad Bunny,30
1/27/2023,Bad Bunny,31
1/28/2023,Bad Bunny,32
1/29/2023,Bad Bunny,33
1/30/2023,Bad Bunny,34
1/31/2023,Bad Bunny,35
2/1/2023,Bad Bunny,36
2/2/2023,Bad Bunny,37
2/3/2023,Bad Bunny,38
2/4/2023,Bad Bunny,39
2/5/2023,Bad Bunny,40
2/6/2023,Bad Bunny,41
2/7/2023,Bad Bunny,42
2/8/2023,Bad Bunny,43
2/9/2023,Bad Bunny,44
2/10/2023,Bad Bunny,45
2/11/2023,Bad Bunny,46
2023-02-12,"Bad Bunny",47
2023-02-13,"Bad Bunny",48
2023-02-14,"Bad Bunny",49
2023-02-15,"Taylor Swift",1
2023-02-16,"Taylor Swift",2
2023-02-17,"Taylor Swift",3
2023-02-18,"Taylor Swift",4
2023-02-19,"Taylor Swift",5
2023-02-20,"Taylor Swift",6
2023-02-21,"Taylor Swift",7
2023-02-22,"Taylor Swift",8
2023-02-23,"Taylor Swift",9
2023-02-24,"Taylor Swift",10
2023-02-25,"Taylor Swift",11
2023-02-26,"Bad Bunny",1
2023-02-27,"Bad Bunny",2
2023-02-28,"Bad Bunny",3
2023-03-01,"Bad Bunny",4
2023-03-02,"Bad Bunny",5
2023-03-04,"Bad Bunny",6
2023-03-04,"Bad Bunny",7
2023-03-05,"Bad Bunny",8
2023-03-06,"Bad Bunny",9
2023-03-07,"Bad Bunny",10
2023-03-08,"Bad Bunny",11
2023-03-09,"Bad Bunny",12
2023-03-10,"Bad Bunny",13
2023-03-11,"Bad Bunny",14
2023-03-12,"Bad Bunny",15
2023-03-13,"Bad Bunny",16
2023-03-14,"Bad Bunny",17
2023-03-15,"Bad Bunny",18
2023-03-16,"Bad Bunny",19
2023-03-17,"Bad Bunny",20
2023-03-18,"Bad Bunny",21
2023-03-20,"Taylor Swift",1
2023-03-21,"Taylor Swift",2
2023-03-22,"Taylor Swift",3
2023-03-23,"Taylor Swift",4
2023-03-24,"Taylor Swift",5
2023-03-25,"Taylor Swift",6
2023-03-26,"Taylor Swift",7
2023-03-27,"Taylor Swift",8
2023-03-28,"Taylor Swift",9
2023-03-29,"Taylor Swift",10
2023-03-30,"Taylor Swift",11
2023-03-31,"Taylor Swift",12
2023-04-01,"Taylor Swift",13
2023-04-02,"Taylor Swift",14
2023-04-03,"Taylor Swift",15
2023-04-04,"Taylor Swift",16
2023-04-05,"Taylor Swift",17
2023-04-06,"Taylor Swift",18
2023-04-07,"Taylor Swift",19
2023-04-08,"Taylor Swift",20
2023-04-09,"Taylor Swift",21
2023-04-10,"Taylor Swift",22
2023-04-11,"Taylor Swift",23
2023-04-12,"Taylor Swift",24
2023-04-13,"Taylor Swift",25
2023-04-14,"Taylor Swift",26
2023-04-15,"Taylor Swift",27
2023-04-16,"Taylor Swift",28
2023-04-17,"Taylor Swift",29
2023-04-18,"Taylor Swift",30
2023-04-19,"Taylor Swift",31
2023-04-20,"Taylor Swift",32
2023-04-21,"Taylor Swift",33
2023-04-22,"Taylor Swift",34
2023-04-23,"Taylor Swift",35
2023-04-24,"Taylor Swift",36
2023-04-25,"Taylor Swift",37
2023-04-26,"Taylor Swift",38
2023-04-27,"Taylor Swift",39
2023-04-28,"Taylor Swift",40
2023-04-29,"Taylor Swift",41
2023-04-30,"Taylor Swift",42
2023-05-01,"Taylor Swift",43
2023-05-03,"Taylor Swift",44
2023-05-04,"Taylor Swift",45
2023-05-05,"Taylor Swift",46
